Phase,Blue,Red,Score,Winner,Patch,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1,RP2,BP2,BP3,RP3,RB4,BB4,RB5,BB5,RP4,BP4,BP5,RP5,BR1,BR2,BR3,BR4,BR5,RR1,RR2,RR3,RR4,RR5,SB,VOD
Week 9,KT Rolster,DRX,2 - 0,1,13.5,Lee Sin,Annie,LeBlanc,Varus,Caitlyn,Elise,Zeri,Sejuani,Jayce,Lulu,Vi,Xayah,Renekton,Rakan,Kennen,Jax,Rell,K'Sante,Veigar,Yone,Bot,Support,Jungle,Top,Mid,Jungle,Top,Bot,Support,Mid,SB,https://www.youtube.com/live/u0dX4Y1DVhs?feature=share&t=13743
Week 9,KT Rolster,DRX,1 - 0,1,13.5,Lee Sin,Annie,LeBlanc,Caitlyn,Elise,Varus,Zeri,Rakan,Wukong,Sejuani,Lulu,Xayah,Yone,K'Sante,Jayce,Ahri,Taliyah,Veigar,Renekton,Jax,Bot,Jungle,Support,Mid,Top,Support,Jungle,Bot,Mid,Top,SB,https://www.youtube.com/live/u0dX4Y1DVhs?feature=share&t=10826
Week 9,Nongshim RedForce,T1,0 - 2,2,13.5,Ashe,K'Sante,Caitlyn,Annie,Jayce,Rakan,Lee Sin,Lucian,Kennen,Zeri,Lulu,Nami,LeBlanc,Vi,Taliyah,Elise,Wukong,Maokai,Ahri,Lissandra,Jungle,Bot,Support,Top,Mid,Bot,Top,Support,Jungle,Mid,SB,https://www.youtube.com/live/u0dX4Y1DVhs?feature=share&t=4603
Week 9,T1,Nongshim RedForce,1 - 0,1,13.5,K'Sante,Annie,Rakan,Ashe,Lee Sin,Jayce,Kennen,LeBlanc,Sejuani,Caitlyn,Lux,Veigar,Elise,Blitzcrank,Vi,Varus,Lucian,Kassadin,Wukong,Nami,Top,Bot,Support,Mid,Jungle,Top,Jungle,Mid,Bot,Support,SB,https://www.youtube.com/live/u0dX4Y1DVhs?feature=share&t=1825
Week 9,Gen.G,Dplus KIA,2 - 0,1,13.5,Caitlyn,K'Sante,Lucian,Annie,Varus,Zeri,Jayce,Kennen,Ashe,Maokai,Yone,LeBlanc,Draven,Vi,Rakan,Heimerdinger,Xin Zhao,Ziggs,Leona,Sivir,Top,Jungle,Mid,Bot,Support,Top,Support,Mid,Jungle,Bot,SB,https://www.youtube.com/live/HEGvn-90SMo?feature=share&t=18687
Week 9,Gen.G,Dplus KIA,1 - 0,1,13.5,Caitlyn,K'Sante,Lucian,Varus,Ashe,Annie,Jayce,Kennen,Lee Sin,Maokai,Zeri,LeBlanc,Lissandra,Karma,Veigar,Thresh,Jinx,Rakan,Yone,Renata Glasc,Top,Jungle,Bot,Support,Mid,Top,Jungle,Mid,Bot,Support,SB,https://www.youtube.com/live/HEGvn-90SMo?feature=share&t=15714
Week 9,Hanwha Life Esports,Liiv SANDBOX,02월 01일,1,13.5,Sejuani,Lucian,Caitlyn,Annie,Wukong,Kennen,Varus,Lee Sin,Jayce,Vi,Heimerdinger,Sylas,LeBlanc,Karma,Taliyah,Ashe,Samira,Ahri,Gragas,Rell,Bot,Jungle,Support,Mid,Top,Jungle,Top,Mid,Bot,Support,SB,https://www.youtube.com/live/HEGvn-90SMo?feature=share&t=8347
Week 9,Liiv SANDBOX,Hanwha Life Esports,01월 01일,1,13.5,Elise,Annie,Zeri,Varus,Ashe,Caitlyn,Wukong,Rakan,Lee Sin,Jinx,Thresh,Xayah,Gragas,LeBlanc,Taliyah,Veigar,Kennen,Jayce,Ahri,Lissandra,Jungle,Bot,Support,Top,Mid,Support,Jungle,Bot,Top,Mid,SB,https://www.youtube.com/live/HEGvn-90SMo?feature=share&t=5034
Week 9,Hanwha Life Esports,Liiv SANDBOX,1 - 0,1,13.5,Sejuani,Lucian,Caitlyn,Annie,Wukong,Varus,Lee Sin,Viego,Zeri,Xayah,Rakan,Renata Glasc,LeBlanc,Sylas,Kennen,Jax,Taliyah,Veigar,K'Sante,Gnar,Jungle,Bot,Support,Mid,Top,Jungle,Bot,Support,Mid,Top,SB,https://www.youtube.com/live/HEGvn-90SMo?feature=share&t=1851
Week 9,BRION,Nongshim RedForce,0 - 2,2,13.5,K'Sante,Annie,Taliyah,Caitlyn,Ashe,Varus,Lee Sin,Xayah,Viego,Zeri,Lulu,Rakan,LeBlanc,Ryze,Ahri,Syndra,Veigar,Renekton,Sylas,Darius,Jungle,Bot,Support,Top,Mid,Bot,Jungle,Support,Mid,Top,SB,https://www.youtube.com/live/1gAVLwmcCaY?feature=share&t=15418
Week 9,BRION,Nongshim RedForce,0 - 1,2,13.5,LeBlanc,Annie,Elise,Caitlyn,Ashe,Akali,Varus,K'Sante,Lee Sin,Renekton,Viego,Taliyah,Ahri,Thresh,Heimerdinger,Rakan,Zeri,Veigar,Karma,Lulu,Bot,Top,Jungle,Mid,Support,Top,Jungle,Mid,Bot,Support,SB,https://www.youtube.com/live/1gAVLwmcCaY?feature=share&t=11986
Week 9,Kwangdong Freecs,KT Rolster,0 - 2,2,13.5,Elise,Annie,Varus,K'Sante,Karma,Ashe,Sejuani,Caitlyn,Wukong,Jinx,Leona,Lux,Yone,Kennen,Jax,Veigar,Jayce,Renekton,Aurelion Sol,Taliyah,Jungle,Bot,Support,Top,Mid,Bot,Jungle,Support,Top,Mid,SB,https://www.youtube.com/live/1gAVLwmcCaY?feature=share&t=5267
Week 9,Kwangdong Freecs,KT Rolster,0 - 1,2,13.5,Elise,Annie,Karma,K'Sante,Varus,Ashe,Caitlyn,Jinx,Sejuani,Lux,Wukong,Blitzcrank,Ahri,Yone,LeBlanc,Kennen,Renekton,Taliyah,Gnar,Veigar,Bot,Support,Jungle,Mid,Top,Bot,Jungle,Support,Top,Mid,SB,https://www.youtube.com/live/1gAVLwmcCaY?feature=share&t=1835
Week 9,Hanwha Life Esports,Gen.G,0 - 2,2,13.5,Jayce,Caitlyn,Elise,Annie,Sejuani,Varus,Kennen,Zeri,Gragas,Xayah,Rakan,Lulu,Vi,Veigar,LeBlanc,Taliyah,Maokai,Lee Sin,Ahri,K'Sante,Top,Bot,Support,Jungle,Mid,Bot,Top,Support,Jungle,Mid,SB,https://www.youtube.com/live/-Wv4O_sDgDE?feature=share&t=14425
Week 9,Hanwha Life Esports,Gen.G,0 - 1,2,13.5,Jayce,Caitlyn,Elise,Annie,Kennen,Varus,Ashe,Zeri,Sejuani,Vi,Draven,Leona,Renekton,Yone,Gragas,Jax,Gnar,K'Sante,Sylas,Taliyah,Support,Jungle,Bot,Top,Mid,Bot,Jungle,Support,Top,Mid,SB,https://www.youtube.com/live/-Wv4O_sDgDE?feature=share&t=11395
Week 9,Dplus KIA,T1,0 - 2,2,13.5,Jayce,Annie,Kennen,Ashe,Varus,Lucian,Lee Sin,Caitlyn,Lux,Ezreal,Karma,Viego,Renekton,Ahri,Veigar,Lissandra,LeBlanc,Taliyah,K'Sante,Gnar,Jungle,Bot,Support,Mid,Top,Bot,Support,Jungle,Mid,Top,SB,https://www.youtube.com/live/-Wv4O_sDgDE?feature=share&t=4903
Week 9,Dplus KIA,T1,0 - 1,2,13.5,Jayce,Annie,Caitlyn,Ashe,Varus,Lucian,Lee Sin,Kennen,Jinx,Xayah,Rakan,Thresh,Gnar,Wukong,Sion,Viego,Xin Zhao,Veigar,K'Sante,Ahri,Jungle,Bot,Support,Mid,Top,Top,Bot,Support,Jungle,Mid,SB,https://www.youtube.com/live/-Wv4O_sDgDE?feature=share&t=1871
Week 9,BRION,Liiv SANDBOX,0 - 2,2,13.5,Varus,Renekton,Ashe,Annie,Wukong,Jinx,K'Sante,Aphelios,Lee Sin,Lucian,Nami,Nautilus,Sejuani,LeBlanc,Vi,Jayce,Jax,Veigar,Poppy,Taliyah,Top,Bot,Support,Mid,Jungle,Bot,Jungle,Support,Top,Mid,SB,https://www.youtube.com/live/JUGcq1liX08?feature=share&t=19048
Week 9,Liiv SANDBOX,BRION,1 - 0,1,13.5,Renekton,Wukong,Zeri,Annie,Rakan,Jayce,Varus,Lucian,Lee Sin,Ashe,K'Sante,Nami,Elise,Gwen,Viego,LeBlanc,Gnar,Sejuani,Sylas,Veigar,Bot,Support,Top,Jungle,Mid,Bot,Jungle,Support,Top,Mid,SB,https://www.youtube.com/live/JUGcq1liX08?feature=share&t=15895
Week 9,Kwangdong Freecs,DRX,02월 01일,1,13.5,Elise,Annie,Karma,Caitlyn,Lee Sin,Varus,Ashe,Rakan,Wukong,Veigar,Viego,Ahri,Heimerdinger,Xayah,Lissandra,Tristana,Zeri,K'Sante,Seraphine,Gnar,Bot,Mid,Jungle,Top,Support,Support,Jungle,Mid,Bot,Top,SB,https://www.youtube.com/live/JUGcq1liX08?feature=share&t=9631
Week 9,Kwangdong Freecs,DRX,01월 01일,2,13.5,Elise,Annie,Karma,Caitlyn,Varus,Ashe,Jayce,Lee Sin,Rakan,Wukong,Taliyah,LeBlanc,Lucian,Xayah,Renata Glasc,Tristana,Renekton,Zeri,Lulu,Kai'Sa,Top,Jungle,Mid,Bot,Support,Jungle,Support,Mid,Top,Bot,SB,https://www.youtube.com/live/JUGcq1liX08?feature=share&t=6441
Week 9,Kwangdong Freecs,DRX,1 - 0,1,13.5,Elise,Annie,Karma,Gragas,Varus,Ashe,Caitlyn,Jinx,Lee Sin,Lux,Wukong,Leona,Aurelion Sol,LeBlanc,Viktor,Akali,Veigar,Taliyah,K'Sante,Fiora,Bot,Support,Jungle,Mid,Top,Bot,Jungle,Support,Mid,Top,SB,https://www.youtube.com/live/JUGcq1liX08?feature=share&t=2652
